operation_name,index_type,rows_base,runs,batch_size_min,batch_size_max,probes_min,probes_max,avg_total_elapsed_ms,min_total_elapsed_ms,max_total_elapsed_ms,stddev_total_elapsed_ms,avg_elapsed_ms_per_operation,affected_rows_min,affected_rows_max,found_rows_min,found_rows_max,trigger_rows_min,trigger_rows_max
insert,expression_index,10,5,10,10,,,0.403600,0.125000,1.362000,0.536421,0.040360000,10,10,,,,
insert,function_index,10,5,10,10,,,0.244600,0.061000,0.829000,0.329585,0.024460000,10,10,,,,
insert,no_index,10,5,10,10,,,0.178000,0.049000,0.635000,0.256203,0.017800000,10,10,,,,
insert,simple_btree,10,5,10,10,,,0.254400,0.062000,0.801000,0.312683,0.025440000,10,10,,,,
insert,unique_btree,10,5,10,10,,,0.215400,0.065000,0.761000,0.305454,0.021540000,10,10,,,,
insert,expression_index,100,5,100,100,,,0.569800,0.384000,1.169000,0.336333,0.005698000,100,100,,,,
insert,function_index,100,5,100,100,,,0.427800,0.211000,1.070000,0.361257,0.004278000,100,100,,,,
insert,no_index,100,5,100,100,,,0.337400,0.145000,0.832000,0.289714,0.003374000,100,100,,,,
insert,simple_btree,100,5,100,100,,,0.451200,0.205000,1.272000,0.460753,0.004512000,100,100,,,,
insert,unique_btree,100,5,100,100,,,0.775000,0.436000,1.579000,0.466228,0.007750000,100,100,,,,
insert,expression_index,1000,5,1000,1000,,,3.892800,3.487000,4.669000,0.466547,0.003892800,1000,1000,,,,
insert,function_index,1000,5,1000,1000,,,3.093800,2.113000,4.049000,0.905832,0.003093800,1000,1000,,,,
insert,no_index,1000,5,1000,1000,,,1.250400,0.981000,1.853000,0.345953,0.001250400,1000,1000,,,,
insert,simple_btree,1000,5,1000,1000,,,2.099400,1.723000,2.884000,0.467870,0.002099400,1000,1000,,,,
insert,unique_btree,1000,5,1000,1000,,,2.970600,2.525000,3.834000,0.530126,0.002970600,1000,1000,,,,
insert,expression_index,10000,5,1000,1000,,,4.562800,4.056000,5.201000,0.552933,0.004562800,1000,1000,,,,
insert,function_index,10000,5,1000,1000,,,3.376800,2.300000,4.154000,0.748984,0.003376800,1000,1000,,,,
insert,no_index,10000,5,1000,1000,,,1.293600,1.067000,1.723000,0.276597,0.001293600,1000,1000,,,,
insert,simple_btree,10000,5,1000,1000,,,2.060600,1.701000,2.701000,0.402770,0.002060600,1000,1000,,,,
insert,unique_btree,10000,5,1000,1000,,,4.903600,2.469000,10.248000,3.166041,0.004903600,1000,1000,,,,
insert,expression_index,100000,5,1000,1000,,,6.750200,4.246000,8.874000,2.060320,0.006750200,1000,1000,,,,
insert,function_index,100000,5,1000,1000,,,2.211200,1.881000,3.129000,0.519678,0.002211200,1000,1000,,,,
insert,no_index,100000,5,1000,1000,,,1.536800,1.145000,2.419000,0.515936,0.001536800,1000,1000,,,,
insert,simple_btree,100000,5,1000,1000,,,2.104200,1.734000,3.025000,0.526725,0.002104200,1000,1000,,,,
insert,unique_btree,100000,5,1000,1000,,,2.878200,2.513000,3.065000,0.226086,0.002878200,1000,1000,,,,
insert,expression_index,1000000,5,1000,1000,,,6.327200,5.165000,10.333000,2.243084,0.006327200,1000,1000,,,,
insert,function_index,1000000,5,1000,1000,,,3.335400,2.312000,6.215000,1.622888,0.003335400,1000,1000,,,,
insert,no_index,1000000,5,1000,1000,,,1.300400,1.106000,1.669000,0.220967,0.001300400,1000,1000,,,,
insert,simple_btree,1000000,5,1000,1000,,,4.495400,2.352000,12.040000,4.230897,0.004495400,1000,1000,,,,
insert,unique_btree,1000000,5,1000,1000,,,3.778200,2.789000,5.396000,1.012560,0.003778200,1000,1000,,,,
insert,expression_index,25000000,5,1000,1000,,,6.982400,5.318000,12.369000,3.021639,0.006982400,1000,1000,,,,
insert,function_index,25000000,5,1000,1000,,,4.607800,2.799000,11.579000,3.897447,0.004607800,1000,1000,,,,
insert,no_index,25000000,5,1000,1000,,,1.416200,1.209000,1.951000,0.303805,0.001416200,1000,1000,,,,
insert,simple_btree,25000000,5,1000,1000,,,5.168000,3.127000,10.162000,2.852375,0.005168000,1000,1000,,,,
insert,unique_btree,25000000,5,1000,1000,,,4.472000,3.483000,6.055000,1.067816,0.004472000,1000,1000,,,,
insert,expression_index,50000000,5,1000,1000,,,9.487200,6.296000,18.338000,5.087536,0.009487200,1000,1000,,,,
insert,function_index,50000000,5,1000,1000,,,5.366000,3.191000,9.759000,2.874781,0.005366000,1000,1000,,,,
insert,no_index,50000000,5,1000,1000,,,2.366600,1.556000,3.445000,0.746262,0.002366600,1000,1000,,,,
insert,simple_btree,50000000,5,1000,1000,,,7.223400,3.444000,16.925000,5.571849,0.007223400,1000,1000,,,,
insert,unique_btree,50000000,5,1000,1000,,,6.204400,4.411000,8.804000,1.623607,0.006204400,1000,1000,,,,
select,btree_index_nonclustered,10,6,,,200,200,4.138167,3.649000,5.524000,0.689569,0.020690833,,,200,200,,
select,without_index_nonclustered,10,6,,,200,200,3.259000,3.045000,3.827000,0.296721,0.016295000,,,200,200,,
select,btree_index_nonclustered,100,6,,,200,200,5.484333,4.243000,8.027000,1.465573,0.027421667,,,200,200,,
select,without_index_nonclustered,100,6,,,200,200,3.774167,3.459000,4.485000,0.393722,0.018870833,,,200,200,,
select,btree_index_nonclustered,1000,6,,,200,200,4.279167,3.986000,5.165000,0.454505,0.021395833,,,200,200,,
select,without_index_nonclustered,1000,6,,,200,200,15.708333,10.024000,24.587000,5.371992,0.078541667,,,200,200,,
select,btree_index_nonclustered,10000,6,,,200,200,9.589500,5.267000,20.653000,5.847884,0.047947500,,,200,200,,
select,without_index_nonclustered,10000,6,,,200,200,83.650333,75.899000,94.147000,7.774599,0.418251667,,,200,200,,
select,btree_index_nonclustered,100000,6,,,200,200,5.937833,4.071000,7.751000,1.493331,0.029689167,,,200,200,,
select,without_index_nonclustered,100000,6,,,200,200,860.840333,761.919000,988.295000,85.818470,4.304201667,,,200,200,,
select,btree_index_nonclustered,1000000,6,,,200,200,7.855833,6.973000,8.548000,0.668192,0.039279167,,,200,200,,
select,without_index_nonclustered,1000000,6,,,200,200,4943.748667,4663.517000,5216.389000,236.176478,24.718743333,,,200,200,,
select,btree_index_nonclustered,25000000,6,,,10,10,0.664000,0.377000,1.899000,0.606075,0.066400000,,,10,10,,
select,without_index_nonclustered,25000000,6,,,10,10,4812.946167,4518.113000,5310.283000,270.829308,481.294616667,,,10,10,,
select,btree_index_nonclustered,50000000,6,,,5,5,0.502000,0.206000,1.807000,0.641516,0.100400000,,,5,5,,
select,without_index_nonclustered,50000000,6,,,5,5,7731.924000,5380.728000,10794.122000,1854.897497,1546.384800000,,,5,5,,
update,expression_index,10,5,10,10,,,0.326600,0.106000,1.076000,0.421316,0.032660000,10,10,,,10,10
update,function_index,10,5,10,10,,,0.306000,0.111000,1.057000,0.419922,0.030600000,10,10,,,10,10
update,no_extra_index,10,5,10,10,,,0.319800,0.094000,1.156000,0.467738,0.031980000,10,10,,,10,10
update,simple_btree,10,5,10,10,,,0.331600,0.104000,1.014000,0.389888,0.033160000,10,10,,,10,10
update,unique_btree,10,5,10,10,,,0.321400,0.113000,1.088000,0.428838,0.032140000,10,10,,,10,10
update,expression_index,100,5,100,100,,,1.206200,0.881000,2.161000,0.537319,0.012062000,100,100,,,100,100
update,function_index,100,5,100,100,,,1.207200,0.830000,2.150000,0.536739,0.012072000,100,100,,,100,100
update,no_extra_index,100,5,100,100,,,1.023800,0.821000,1.647000,0.351094,0.010238000,100,100,,,100,100
update,simple_btree,100,5,100,100,,,1.121800,0.819000,1.975000,0.483611,0.011218000,100,100,,,100,100
update,unique_btree,100,5,100,100,,,1.122400,0.843000,1.893000,0.436853,0.011224000,100,100,,,100,100
update,expression_index,1000,5,1000,1000,,,11.929200,9.330000,17.607000,3.253043,0.011929200,1000,1000,,,1000,1000
